ISI:000341169400001, FACCIENCIAS, savedrecs (45).bib
ISI:000275176500018, FACCIENCIAS, savedrecs (82).bib
ISI:000276063400011, FACCIENCIAS, savedrecs (82).bib
ISI:000276063400019, FACCIENCIAS, savedrecs (82).bib
ISI:000169157800003, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000169476800004, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000169476800016, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168540900002, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168913300012, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000170907300007, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168386600001, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168612400017, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168457900014, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000170059800017, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168558100010, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000173093800001, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000170198000002, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000166459200004, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167826000001, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167502700007, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167293900003, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000171551900015, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167934600004, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167589400014, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167649100005, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168027800007, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000167623900016, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000168268600004, FACCIENCIAS, savedrecs - 2019-11-12T150724.513.bib
ISI:000428016800003, FACCIENCIAS, savedrecs (7).bib
ISI:000427134100008, FACCIENCIAS, savedrecs (7).bib
ISI:000427334600005, FACCIENCIAS, savedrecs (7).bib
ISI:000426656400009, FACCIENCIAS, savedrecs (7).bib
ISI:000426610900001, FACCIENCIAS, savedrecs (7).bib
ISI:000426504400008, FACCIENCIAS, savedrecs (7).bib
ISI:000412001800004, FACCIENCIAS, savedrecs (7).bib
ISI:000428027800001, FACCIENCIAS, savedrecs (7).bib
ISI:000428027800012, FACCIENCIAS, savedrecs (7).bib
ISI:000427488000029, FACCIENCIAS, savedrecs (7).bib
ISI:000424125400005, FACCIENCIAS, savedrecs (7).bib
ISI:000427189300009, FACCIENCIAS, savedrecs (7).bib
ISI:000426571100012, FACCIENCIAS, savedrecs (7).bib
ISI:000424717800076, SIN AFILIACION, savedrecs (7).bib
ISI:000438813400036, FACCIENCIAS, savedrecs (7).bib
ISI:000425323900014, FACCIENCIAS, savedrecs (7).bib
ISI:000425323900021, FACCIENCIAS, savedrecs (7).bib
ISI:000433224000005, FACCIENCIAS, savedrecs (7).bib
ISI:000433224000006, FACCIENCIAS, savedrecs (7).bib
ISI:000433224000016, FACCIENCIAS, savedrecs (7).bib
ISI:000433224000027, FACCIENCIAS, savedrecs (7).bib
ISI:000438764000002, FACCIENCIAS, savedrecs (7).bib
ISI:000437699300001, FACCIENCIAS, savedrecs (7).bib
ISI:000428514100177, FACCIENCIAS, savedrecs (7).bib
ISI:000429482800020, FACCIENCIAS, savedrecs (7).bib
ISI:000430038500005, FACCIENCIAS, savedrecs (7).bib
ISI:000429320000007, FACCIENCIAS, savedrecs (7).bib
ISI:000428957700021, FACCIENCIAS, savedrecs (7).bib
ISI:000427307900004, FACCIENCIAS, savedrecs (7).bib
ISI:000426848800002, FACCIENCIAS, savedrecs (7).bib
ISI:000426802600030, FACCIENCIAS, savedrecs (7).bib
ISI:000426765000017, FACCIENCIAS, savedrecs (7).bib
ISI:000426814700011, FACCIENCIAS, savedrecs (7).bib
ISI:000426605800277, FACCIENCIAS, savedrecs (7).bib
ISI:000426605800278, FACCIENCIAS, savedrecs (7).bib
ISI:000426605800293, FACCIENCIAS, savedrecs (7).bib
ISI:000426310000002, FACCIENCIAS, savedrecs (7).bib
ISI:000426199700002, FACCIENCIAS, savedrecs (7).bib
ISI:000424701400005, FACCIENCIAS, savedrecs (7).bib
ISI:000425494400004, FACCIENCIAS, savedrecs (7).bib
ISI:000466718100008, FACCIENCIAS, savedrecs (7).bib
ISI:000424171200006, FACCIENCIAS, savedrecs (7).bib
ISI:000423863100003, FACCIENCIAS, savedrecs (7).bib
ISI:000415778300009, FACCIENCIAS, savedrecs (7).bib
ISI:000426521400002, FACCIENCIAS, savedrecs (7).bib
ISI:000426147000001, FACCIENCIAS, savedrecs (7).bib
ISI:000427310700050, FACCIENCIAS, savedrecs (7).bib
ISI:000425495000062, FACCIENCIAS, savedrecs (7).bib
ISI:000281284800007, FACCIENCIAS, savedrecs (80).bib
ISI:000281413600016, FACCIENCIAS, savedrecs (80).bib
ISI:000282116200013, FACCIENCIAS, savedrecs (80).bib
ISI:000283685100009, FACCIENCIAS, savedrecs (80).bib
ISI:000284301400011, FACCIENCIAS, savedrecs (80).bib
ISI:000282111400013, FACCIENCIAS, savedrecs (80).bib
ISI:000280344000019, FACCIENCIAS, savedrecs (80).bib
ISI:000282115100021, FACCIENCIAS, savedrecs (80).bib
ISI:000281479800004, FACCIENCIAS, savedrecs (80).bib
ISI:000281019900037, FACCIENCIAS, savedrecs (80).bib
ISI:000280735200033, FACCIENCIAS, savedrecs (80).bib
ISI:000286791000004, FACCIENCIAS, savedrecs (80).bib
ISI:000281389000009, FACCIENCIAS, savedrecs (80).bib
ISI:000282153100002, FACCIENCIAS, savedrecs (80).bib
ISI:000280632900010, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500003, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500006, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500009, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500010, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500016, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500018, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500019, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500021, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500024, FACCIENCIAS, savedrecs (80).bib
ISI:000281437500027, FACCIENCIAS, savedrecs (80).bib
ISI:000279787600027, FACCIENCIAS, savedrecs (80).bib
ISI:000280184800001, FACCIENCIAS, savedrecs (80).bib
ISI:000279886900013, FACCIENCIAS, savedrecs (80).bib
ISI:000278695100006, FACCIENCIAS, savedrecs (80).bib
ISI:000280206700013, FACCIENCIAS, savedrecs (80).bib
ISI:000278672600018, FACCIENCIAS, savedrecs (80).bib
ISI:000279438900008, FACCIENCIAS, savedrecs (80).bib
ISI:000279133100023, FACCIENCIAS, savedrecs (80).bib
ISI:000280347300006, FACCIENCIAS, savedrecs (80).bib
ISI:000278308100009, FACCIENCIAS, savedrecs (80).bib
ISI:000279733000005, FACCIENCIAS, savedrecs (80).bib
ISI:000171467500016, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000174038700001, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000171976400003, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000171901900011, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000170481900006, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000175238800011, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000174783200004, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000170619600034, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000170281600016, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000170100500009, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000172053300008, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000169897200003, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000170262600003, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000169090900002, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000169628200006, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000169352600005, FACCIENCIAS, savedrecs - 2019-11-12T150714.859.bib
ISI:000339779400007, FACCIENCIAS, savedrecs (49).bib
ISI:000339779400012, FACCIENCIAS, savedrecs (49).bib
ISI:000339779400014, FACCIENCIAS, savedrecs (49).bib
ISI:000339779400015, FACCIENCIAS, savedrecs (49).bib
ISI:000339779400026, FACCIENCIAS, savedrecs (49).bib
ISI:000339779400035, FACCIENCIAS, savedrecs (49).bib
ISI:000339301800021, FACCIENCIAS, savedrecs (49).bib
ISI:000338037800011, FACCIENCIAS, savedrecs (49).bib
ISI:000337655700004, FACCIENCIAS, savedrecs (49).bib
ISI:000337655700006, HERBARIOFACCIENCIAS, savedrecs (49).bib
ISI:000337655700011, FACCIENCIAS, savedrecs (49).bib
ISI:000337655700014, FACCIENCIAS, savedrecs (49).bib
ISI:000336051700004, FACCIENCIAS, savedrecs (49).bib
ISI:000336047900010, FACCIENCIAS, savedrecs (49).bib
ISI:000336399200017, FACCIENCIAS, savedrecs (49).bib
ISI:000338156700004, FACCIENCIAS, savedrecs (49).bib
ISI:000335845800012, FACCIENCIAS, savedrecs (49).bib
ISI:000336017200007, FACCIENCIAS, savedrecs (49).bib
ISI:000335644900005, FACCIENCIAS, savedrecs (49).bib
ISI:000337648600025, FACCIENCIAS, savedrecs (49).bib
ISI:000336743900004, FACCIENCIAS, savedrecs (49).bib
ISI:000335401300006, FACCIENCIAS, savedrecs (49).bib
ISI:000334463800014, FACCIENCIAS, savedrecs (49).bib
ISI:000334184300003, FACCIENCIAS, savedrecs (49).bib
ISI:000334923900002, FACCIENCIAS, savedrecs (49).bib
ISI:000334026700004, FACCIENCIAS, savedrecs (49).bib
ISI:000334046100006, FACCIENCIAS, savedrecs (49).bib
ISI:000334026700002, FACCIENCIAS, savedrecs (49).bib
ISI:000335733200001, FACCIENCIAS, savedrecs (49).bib
ISI:000335806700032, FACCIENCIAS, savedrecs (49).bib
ISI:000330419500003, FACCIENCIAS, savedrecs (49).bib
ISI:000334339200004, FACCIENCIAS, savedrecs (49).bib
ISI:000307752700057, FACCIENCIAS, savedrecs (69).bib
ISI:000306408200007, FACCIENCIAS, savedrecs (69).bib
ISI:000306251400005, FACCIENCIAS, savedrecs (69).bib
ISI:000304979300006, FACCIENCIAS, savedrecs (69).bib
ISI:000301990400017, FACCIENCIAS, savedrecs (69).bib
ISI:000301642300003, FACCIENCIAS, savedrecs (69).bib
ISI:000301642300005, FACCIENCIAS, savedrecs (69).bib
ISI:000301173900002, FACCIENCIAS, savedrecs (69).bib
ISI:000300962300005, FACCIENCIAS, savedrecs (69).bib
ISI:000300547000001, FACCIENCIAS, savedrecs (69).bib
ISI:000298983000002, FACCIENCIAS, savedrecs (69).bib
ISI:000299535700003, FACCIENCIAS, savedrecs (69).bib
ISI:000298740400012, FACCIENCIAS, savedrecs (69).bib
ISI:000298379200007, FACCIENCIAS, savedrecs (69).bib
ISI:000298190000008, FACCIENCIAS, savedrecs (69).bib
ISI:000298636000021, FACCIENCIAS, savedrecs (69).bib
ISI:000301281900018, FACCIENCIAS, savedrecs (69).bib
ISI:000308131000003, FACCIENCIAS, savedrecs (69).bib
ISI:000339419700002, FACCIENCIAS, savedrecs (69).bib
ISI:A1997WP12200014, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WX11600003, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WH91900010, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WG71200003, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WH49600007, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WA60800035, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WA60800040, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ23A00286, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WW56100003, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ93N00083, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ93N00098, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ93N00107, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997XH45900006, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997XC01600005, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:000071325700004, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997WA17800026, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ03H00047, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ03H00108, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997BJ03H00113, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1997YA84000012, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1996WK69400002, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1996VW85500001, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1996WG73700006, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:A1996VY10300010, FACCIENCIAS, savedrecs - 2019-11-12T150945.522.bib
ISI:000252712600002, FACCIENCIAS, savedrecs (99).bib
ISI:000251903200007, FACCIENCIAS, savedrecs (99).bib
ISI:000251982600008, FACCIENCIAS, savedrecs (99).bib
ISI:000256372500005, FACCIENCIAS, savedrecs (99).bib
ISI:000253559400010, FACCIENCIAS, savedrecs (99).bib
ISI:000251091300011, FACCIENCIAS, savedrecs (99).bib
ISI:000310856900017, FACCIENCIAS, savedrecs (99).bib
ISI:000258639400004, GHERBARIOFACCIENCIASFCME, savedrecs (99).bib
ISI:000252838300001, FACCIENCIAS, savedrecs (99).bib
ISI:000252321100006, FACCIENCIAS, savedrecs (99).bib
ISI:000253834300119, FACCIENCIAS, savedrecs (99).bib
ISI:000252651400009, FACCIENCIAS, savedrecs (99).bib
ISI:000273123000008, FACCIENCIAS, savedrecs (99).bib
ISI:000267411600002, FACCIENCIA, savedrecs (99).bib
ISI:000252827500007, FACCIENCIAS, savedrecs (99).bib
ISI:000256493300009, FACCIENCIAS, savedrecs (99).bib
ISI:000258479700019, FACCIENCIAS, savedrecs (99).bib
ISI:000263477500005, FACCIENCIAS, savedrecs (99).bib
ISI:000263872000011, FACCIENCIAS, savedrecs (99).bib
ISI:000266408500102, FACCIENCIAS, savedrecs (90).bib
ISI:000265834900005, FACCIENCIAS, savedrecs (90).bib
ISI:000266361300008, FACCIENCIAS, savedrecs (90).bib
ISI:000266361300013, FACCIENCIAS, savedrecs (90).bib
ISI:000265620100001, FACCIENCIAS, savedrecs (90).bib
ISI:000268332400008, FACCIENCIAS, savedrecs (90).bib
ISI:000264440100003, FACCIENCIAS, savedrecs (90).bib
ISI:000265496100014, FACCIENCIAS, savedrecs (90).bib
ISI:000262867100023, FACCIENCIAS, savedrecs (90).bib
ISI:000265561000006, FACCIENCIAS, savedrecs (90).bib
ISI:000263747000007, FACCIENCIAS, savedrecs (90).bib
ISI:000264117600009, FACCIENCIAS, savedrecs (90).bib
ISI:000264117600012, HERBARIOFACCIENCIASFCME, savedrecs (90).bib
ISI:000269070500014, FACCIENCIAS, savedrecs (90).bib
ISI:000264212400003, FACCIENCIAS, savedrecs (90).bib
ISI:000264767300049, FACCIENCIAS, savedrecs (90).bib
ISI:000263606300006, FACCIENCIAS, savedrecs (90).bib
ISI:000268148400038, FACCIENCIAS, savedrecs (90).bib
ISI:000265907100011, FACCIENCIAS, savedrecs (90).bib
ISI:000264509100024, FACCIENCIAS, savedrecs (90).bib
ISI:000264470400020, FACCIENCIAS, savedrecs (90).bib
ISI:000261660200008, FACCIENCIAS, savedrecs (90).bib
ISI:000263453800015, FACCIENCIAS, savedrecs (90).bib
ISI:000262578700001, FACCIENCIAS, savedrecs (90).bib
ISI:000263442100010, FACCIENCIAS, savedrecs (90).bib
ISI:000262558300021, FACCIENCIAS, savedrecs (90).bib
ISI:000263400000013, FACCIENCIAS, savedrecs (90).bib
ISI:000263140700011, ACUARIOFACCIENCIAS, savedrecs (90).bib
ISI:000263417700008, FACCIENCIAS, savedrecs (90).bib
ISI:000263879700001, FACCIENCIAS, savedrecs (90).bib
ISI:000264093700002, FACCIENCIAS, savedrecs (90).bib
ISI:000341774800079, FACCIENCIAS, savedrecs (47).bib
ISI:000340563800093, FACCIENCIAS, savedrecs (47).bib
ISI:000340995100002, FACCIENCIAS, savedrecs (47).bib
ISI:000340995100006, FACCIENCIAS, savedrecs (47).bib
ISI:000339656100022, FACCIENCIAS, savedrecs (47).bib
ISI:000351021800006, FACCIENCIAS, savedrecs (47).bib
ISI:000351021800007, FACCIENCIAS, savedrecs (47).bib
ISI:000348604600010, FACCIENCIAS, savedrecs (47).bib
ISI:000348604600012, FACCIENCIAS, savedrecs (47).bib
ISI:000346857600034, FACCIENCIAS, savedrecs (47).bib
ISI:000346857600033, FACCIENCIAS, savedrecs (47).bib
ISI:000346857600013, FACCIENCIAS, savedrecs (47).bib
ISI:000346857600003, FACCIENCIAS, savedrecs (47).bib
ISI:000346857600024, FACCIENCIAS, savedrecs (47).bib
ISI:000346365900002, FACCIENCIAS, savedrecs (47).bib
ISI:000346424200037, FACCIENCIAS, savedrecs (47).bib
ISI:000344617300013, FACCIENCIAS, savedrecs (47).bib
ISI:000344607700012, FACCIENCIAS, savedrecs (47).bib
ISI:000344363700014, FACCIENCIAS, savedrecs (47).bib
ISI:000343101800006, FACCIENCIAS, savedrecs (47).bib
ISI:000343187200027, FACCIENCIAS, savedrecs (47).bib
ISI:000341675600003, FACCIENCIAS, savedrecs (47).bib
ISI:000341824100016, FACCIENCIAS, savedrecs (47).bib
ISI:000340367800001, FACCIENCIAS, savedrecs (47).bib
ISI:000340367800002, FACCIENCIAS, savedrecs (47).bib
ISI:000340294700004, FACCIENCIAS, savedrecs (47).bib
ISI:000340585700001, FACCIENCIAS, savedrecs (47).bib
ISI:000341437500003, FACCIENCIAS, savedrecs (47).bib
ISI:000359666801126, FACCIENCIAS, savedrecs (47).bib
ISI:000341593300004, FACCIENCIAS, savedrecs (47).bib
ISI:000339342600005, FACCIENCIAS, savedrecs (47).bib
ISI:000341353400004, FACCIENCIAS, savedrecs (47).bib
ISI:000340880900056, FACCIENCIAS, savedrecs (47).bib
ISI:000341065200006, FACCIENCIAS, savedrecs (47).bib
ISI:000341001500001, FACCIENCIAS, savedrecs (47).bib
ISI:000349167403655, FACCIENCIAS, savedrecs (47).bib
ISI:000339995500003, FACCIENCIAS, savedrecs (47).bib
ISI:000341733700011, FACCIENCIAS, savedrecs (47).bib
ISI:000340937300004, FACCIENCIAS, savedrecs (47).bib
ISI:000348198500007, FACCIENCIAS, savedrecs (44).bib
ISI:000348006600008, FACCIENCIAS, savedrecs (44).bib
ISI:000347248300011, FACCIENCIAS, savedrecs (44).bib
ISI:000346775600011, FACCIENCIAS, savedrecs (44).bib
ISI:000456678000035, FACCIENCIAS, savedrecs (44).bib
ISI:000471137600001, FACCIENCIAS, savedrecs (44).bib
ISI:000454927300061, FACCIENCIAS, savedrecs (44).bib
ISI:000374522300013, FACCIENCIAS, savedrecs (44).bib
ISI:000374522300014, FACCIENCIAS, savedrecs (44).bib
ISI:000403833500016, FACCIENCIAS, savedrecs (44).bib
ISI:000403833500020, FACCIENCIAS, savedrecs (44).bib
ISI:000402419800002, FACCIENCIAS, savedrecs (44).bib
ISI:000433799900009, FACCIENCIAS, savedrecs (44).bib
ISI:000373946300001, FACCIENCIAS, savedrecs (44).bib
ISI:000456184200038, FACCIENCIAS, savedrecs (44).bib
ISI:000485318800150, FACCIENCIAS, savedrecs (44).bib
ISI:000416220000052, FACCIENCIAS, savedrecs (44).bib
ISI:000398586307075, FACCIENCIAS, savedrecs (44).bib
ISI:000436737300007, FACCIENCIAS, savedrecs (44).bib
ISI:000354572000012, FACCIENCIAS, savedrecs (44).bib
ISI:000350547200021, FACCIENCIAS, savedrecs (44).bib
ISI:000215965500008, FACCIENCIAS, savedrecs (44).bib
ISI:000209928402214, FACCIENCIAS, savedrecs (44).bib
ISI:000356714900001, FACCIENCIAS, savedrecs (44).bib
ISI:000306220600017, FACCIENCIAS, savedrecs (65).bib
ISI:000306345100010, FACCIENCIAS, savedrecs (65).bib
